Gears Three Point
t_k, y_k, y_real
1.99,2.72634,2.72634
2,2.72906,2.72906
2.01,2.73175,2.73175
2.02,2.73442,2.73442
2.03,2.73707,2.73707
2.04,2.73968,2.73968
2.05,2.74227,2.74227
2.06,2.74484,2.74484
2.07,2.74738,2.74738
2.08,2.74989,2.74989
2.09,2.75238,2.75238
2.1,2.75484,2.75484
2.11,2.75728,2.75728
2.12,2.7597,2.7597
2.13,2.76209,2.76209
2.14,2.76445,2.76446
2.15,2.7668,2.7668
2.16,2.76912,2.76912
2.17,2.77142,2.77142
2.18,2.77369,2.77369
2.19,2.77594,2.77594
2.2,2.77817,2.77817
2.21,2.78038,2.78038
2.22,2.78256,2.78256
2.23,2.78473,2.78473
2.24,2.78687,2.78687
2.25,2.78899,2.78899
2.26,2.79109,2.79109
2.27,2.79317,2.79317
2.28,2.79523,2.79523
2.29,2.79726,2.79726
2.3,2.79928,2.79928
2.31,2.80128,2.80128
2.32,2.80326,2.80326
2.33,2.80521,2.80521
2.34,2.80715,2.80715
2.35,2.80907,2.80907
2.36,2.81097,2.81097
2.37,2.81285,2.81285
2.38,2.81471,2.81471
2.39,2.81656,2.81656
2.4,2.81838,2.81838
2.41,2.82019,2.82019
2.42,2.82198,2.82198
2.43,2.82375,2.82375
2.44,2.8255,2.8255
2.45,2.82724,2.82724
2.46,2.82896,2.82896
2.47,2.83066,2.83066
2.48,2.83235,2.83235
2.49,2.83401,2.83401
2.5,2.83567,2.83567
2.51,2.8373,2.8373
2.52,2.83892,2.83892
2.53,2.84052,2.84052
2.54,2.84211,2.84211
2.55,2.84368,2.84368
2.56,2.84524,2.84524
2.57,2.84678,2.84678
2.58,2.8483,2.8483
2.59,2.84981,2.84981
2.6,2.8513,2.8513
2.61,2.85278,2.85278
2.62,2.85425,2.85425
2.63,2.8557,2.8557
2.64,2.85713,2.85713
2.65,2.85856,2.85856
2.66,2.85996,2.85996
2.67,2.86136,2.86136
2.68,2.86274,2.86274
2.69,2.8641,2.8641
2.7,2.86545,2.86545
2.71,2.86679,2.86679
2.72,2.86812,2.86812
2.73,2.86943,2.86943
2.74,2.87073,2.87073
2.75,2.87202,2.87202
2.76,2.87329,2.87329
2.77,2.87455,2.87455
2.78,2.8758,2.8758
2.79,2.87703,2.87703
2.8,2.87826,2.87826
2.81,2.87947,2.87947
2.82,2.88067,2.88067
2.83,2.88186,2.88186
2.84,2.88303,2.88303
2.85,2.8842,2.8842
2.86,2.88535,2.88535
2.87,2.88649,2.88649
2.88,2.88762,2.88762
2.89,2.88874,2.88874
2.9,2.88984,2.88984
2.91,2.89094,2.89094
2.92,2.89202,2.89202
2.93,2.8931,2.8931
2.94,2.89416,2.89416
2.95,2.89522,2.89522
2.96,2.89626,2.89626
2.97,2.89729,2.89729
2.98,2.89831,2.89831
2.99,2.89932,2.89932
3,2.90033,2.90033
3.01,2.90132,2.90132
3.02,2.9023,2.9023
3.03,2.90327,2.90327
3.04,2.90423,2.90423
3.05,2.90519,2.90519
3.06,2.90613,2.90613
3.07,2.90706,2.90706
3.08,2.90799,2.90799
3.09,2.9089,2.90891
3.1,2.90981,2.90981
3.11,2.91071,2.91071
3.12,2.9116,2.9116
3.13,2.91248,2.91248
3.14,2.91335,2.91335
3.15,2.91421,2.91421
3.16,2.91506,2.91506
3.17,2.91591,2.91591
3.18,2.91675,2.91675
3.19,2.91757,2.91757
3.2,2.91839,2.91839
3.21,2.91921,2.91921
3.22,2.92001,2.92001
3.23,2.92081,2.92081
3.24,2.92159,2.92159
3.25,2.92237,2.92237
3.26,2.92315,2.92315
3.27,2.92391,2.92391
3.28,2.92467,2.92467
3.29,2.92542,2.92542
3.3,2.92616,2.92616
3.31,2.92689,2.92689
3.32,2.92762,2.92762
3.33,2.92834,2.92834
3.34,2.92906,2.92906
3.35,2.92976,2.92976
