Implicit Eulers
k, t_k, y_k, y_real
0,0,0,0
1,0.01,0.927182,1.01787
2,0.02,1.02938,1.03764
3,0.03,1.05641,1.05717
4,0.04,1.07642,1.0765
5,0.05,1.09562,1.09564
6,0.06,1.11458,1.11459
7,0.07,1.13334,1.13335
8,0.08,1.15191,1.15192
9,0.09,1.1703,1.17031
10,0.1,1.1885,1.18852
11,0.11,1.20653,1.20654
12,0.12,1.22437,1.22439
13,0.13,1.24204,1.24205
14,0.14,1.25953,1.25954
15,0.15,1.27685,1.27686
16,0.16,1.294,1.29401
17,0.17,1.31097,1.31098
18,0.18,1.32778,1.32779
19,0.19,1.34442,1.34443
20,0.2,1.36089,1.3609
21,0.21,1.3772,1.37721
22,0.22,1.39335,1.39336
23,0.23,1.40933,1.40934
24,0.24,1.42516,1.42517
25,0.25,1.44083,1.44084
26,0.26,1.45635,1.45635
27,0.27,1.47171,1.47171
28,0.28,1.48691,1.48692
29,0.29,1.50197,1.50198
30,0.3,1.51687,1.51688
31,0.31,1.53163,1.53164
32,0.32,1.54624,1.54625
33,0.33,1.56071,1.56071
34,0.34,1.57503,1.57504
35,0.35,1.58921,1.58921
36,0.36,1.60324,1.60325
37,0.37,1.61714,1.61715
38,0.38,1.6309,1.63091
39,0.39,1.64452,1.64453
40,0.4,1.65801,1.65802
41,0.41,1.67136,1.67137
42,0.42,1.68458,1.68459
43,0.43,1.69767,1.69768
44,0.44,1.71063,1.71064
45,0.45,1.72346,1.72347
46,0.46,1.73616,1.73617
47,0.47,1.74874,1.74875
48,0.48,1.76119,1.7612
49,0.49,1.77351,1.77352
50,0.5,1.78572,1.78573
51,0.51,1.7978,1.79781
52,0.52,1.80976,1.80977
53,0.53,1.82161,1.82161
54,0.54,1.83333,1.83334
55,0.55,1.84494,1.84495
56,0.56,1.85643,1.85644
57,0.57,1.86781,1.86782
58,0.58,1.87908,1.87908
59,0.59,1.89023,1.89024
60,0.6,1.90127,1.90128
61,0.61,1.91221,1.91221
62,0.62,1.92303,1.92304
63,0.63,1.93374,1.93375
64,0.64,1.94435,1.94436
65,0.65,1.95486,1.95486
66,0.66,1.96526,1.96526
