Implicit Eulers
k, t_k, y_k, y_real
67,0.67,1.97555,1.97556
68,0.68,1.98575,1.98575
69,0.69,1.99584,1.99584
70,0.7,2.00583,2.00584
71,0.71,2.01572,2.01573
72,0.72,2.02552,2.02552
73,0.73,2.03521,2.03522
74,0.74,2.04481,2.04482
75,0.75,2.05432,2.05432
76,0.76,2.06373,2.06373
77,0.77,2.07304,2.07305
78,0.78,2.08227,2.08227
79,0.79,2.0914,2.0914
80,0.8,2.10044,2.10044
81,0.81,2.10939,2.10939
82,0.82,2.11825,2.11826
83,0.83,2.12702,2.12703
84,0.84,2.13571,2.13572
85,0.85,2.14431,2.14432
86,0.86,2.15282,2.15283
87,0.87,2.16125,2.16126
88,0.88,2.1696,2.1696
89,0.89,2.17786,2.17787
90,0.9,2.18604,2.18605
91,0.91,2.19414,2.19415
92,0.92,2.20216,2.20216
93,0.93,2.2101,2.2101
94,0.94,2.21796,2.21796
95,0.95,2.22574,2.22574
96,0.96,2.23344,2.23345
97,0.97,2.24107,2.24108
98,0.98,2.24862,2.24863
99,0.99,2.2561,2.2561
100,1,2.2635,2.26351
101,1.01,2.27083,2.27083
102,1.02,2.27808,2.27809
103,1.03,2.28527,2.28527
104,1.04,2.29238,2.29238
105,1.05,2.29942,2.29942
106,1.06,2.30639,2.3064
107,1.07,2.31329,2.3133
108,1.08,2.32013,2.32013
109,1.09,2.32689,2.32689
110,1.1,2.33359,2.33359
111,1.11,2.34022,2.34022
112,1.12,2.34678,2.34679
113,1.13,2.35328,2.35329
114,1.14,2.35972,2.35972
115,1.15,2.36609,2.36609
116,1.16,2.3724,2.3724
117,1.17,2.37864,2.37865
118,1.18,2.38482,2.38483
119,1.19,2.39095,2.39095
120,1.2,2.39701,2.39701
121,1.21,2.40301,2.40301
122,1.22,2.40895,2.40895
123,1.23,2.41483,2.41483
124,1.24,2.42065,2.42065
125,1.25,2.42641,2.42642
126,1.26,2.43212,2.43212
127,1.27,2.43777,2.43778
128,1.28,2.44337,2.44337
129,1.29,2.4489,2.44891
130,1.3,2.45439,2.45439
131,1.31,2.45982,2.45982
132,1.32,2.46519,2.4652
133,1.33,2.47051,2.47052
134,1.34,2.47578,2.47578
135,1.35,2.481,2.481
136,1.36,2.48616,2.48617
137,1.37,2.49127,2.49128
138,1.38,2.49634,2.49634
139,1.39,2.50135,2.50135
140,1.4,2.50631,2.50631
141,1.41,2.51122,2.51123
142,1.42,2.51609,2.51609
143,1.43,2.5209,2.5209
144,1.44,2.52567,2.52567
145,1.45,2.53039,2.53039
146,1.46,2.53506,2.53506
147,1.47,2.53969,2.53969
148,1.48,2.54427,2.54427
149,1.49,2.5488,2.5488
150,1.5,2.55329,2.55329
151,1.51,2.55774,2.55774
152,1.52,2.56214,2.56214
153,1.53,2.56649,2.5665
154,1.54,2.57081,2.57081
155,1.55,2.57508,2.57508
156,1.56,2.57931,2.57931
157,1.57,2.58349,2.58349
158,1.58,2.58764,2.58764
159,1.59,2.59174,2.59174
160,1.6,2.5958,2.5958
161,1.61,2.59982,2.59982
162,1.62,2.6038,2.60381
163,1.63,2.60775,2.60775
164,1.64,2.61165,2.61165
165,1.65,2.61551,2.61552
166,1.66,2.61934,2.61934
167,1.67,2.62313,2.62313
168,1.68,2.62688,2.62688
169,1.69,2.63059,2.63059
170,1.7,2.63427,2.63427
171,1.71,2.6379,2.63791
172,1.72,2.64151,2.64151
173,1.73,2.64507,2.64508
174,1.74,2.64861,2.64861
175,1.75,2.6521,2.6521
176,1.76,2.65556,2.65557
177,1.77,2.65899,2.65899
178,1.78,2.66238,2.66239
179,1.79,2.66574,2.66575
180,1.8,2.66907,2.66907
181,1.81,2.67236,2.67236
182,1.82,2.67562,2.67562
183,1.83,2.67885,2.67885
184,1.84,2.68205,2.68205
185,1.85,2.68521,2.68521
186,1.86,2.68834,2.68834
187,1.87,2.69144,2.69144
188,1.88,2.69451,2.69451
189,1.89,2.69755,2.69755
190,1.9,2.70056,2.70056
191,1.91,2.70354,2.70354
192,1.92,2.70649,2.70649
193,1.93,2.70941,2.70941
194,1.94,2.7123,2.7123
195,1.95,2.71517,2.71517
196,1.96,2.718,2.718
197,1.97,2.72081,2.72081
198,1.98,2.72358,2.72359
199,1.99,2.72633,2.72634
200,2,2.72906,2.72906
201,2.01,2.73175,2.73175
202,2.02,2.73442,2.73442
203,2.03,2.73706,2.73707
204,2.04,2.73968,2.73968
205,2.05,2.74227,2.74227
206,2.06,2.74484,2.74484
207,2.07,2.74737,2.74738
208,2.08,2.74989,2.74989
209,2.09,2.75238,2.75238
210,2.1,2.75484,2.75484
211,2.11,2.75728,2.75728
212,2.12,2.7597,2.7597
213,2.13,2.76209,2.76209
214,2.14,2.76445,2.76446
215,2.15,2.7668,2.7668
216,2.16,2.76912,2.76912
217,2.17,2.77142,2.77142
218,2.18,2.77369,2.77369
219,2.19,2.77594,2.77594
220,2.2,2.77817,2.77817
221,2.21,2.78038,2.78038
222,2.22,2.78256,2.78256
223,2.23,2.78473,2.78473
224,2.24,2.78687,2.78687
225,2.25,2.78899,2.78899
226,2.26,2.79109,2.79109
227,2.27,2.79317,2.79317
228,2.28,2.79523,2.79523
229,2.29,2.79726,2.79726
230,2.3,2.79928,2.79928
231,2.31,2.80128,2.80128
232,2.32,2.80326,2.80326
233,2.33,2.80521,2.80521
234,2.34,2.80715,2.80715
235,2.35,2.80907,2.80907
236,2.36,2.81097,2.81097
237,2.37,2.81285,2.81285
238,2.38,2.81471,2.81471
239,2.39,2.81656,2.81656
240,2.4,2.81838,2.81838
241,2.41,2.82019,2.82019
242,2.42,2.82198,2.82198
243,2.43,2.82375,2.82375
244,2.44,2.8255,2.8255
245,2.45,2.82724,2.82724
246,2.46,2.82896,2.82896
247,2.47,2.83066,2.83066
248,2.48,2.83235,2.83235
249,2.49,2.83401,2.83401
250,2.5,2.83566,2.83567
251,2.51,2.8373,2.8373
252,2.52,2.83892,2.83892
253,2.53,2.84052,2.84052
254,2.54,2.84211,2.84211
255,2.55,2.84368,2.84368
256,2.56,2.84523,2.84524
257,2.57,2.84677,2.84678
258,2.58,2.8483,2.8483
259,2.59,2.84981,2.84981
260,2.6,2.8513,2.8513
261,2.61,2.85278,2.85278
262,2.62,2.85425,2.85425
263,2.63,2.8557,2.8557
264,2.64,2.85713,2.85713
265,2.65,2.85856,2.85856
266,2.66,2.85996,2.85996
267,2.67,2.86136,2.86136
268,2.68,2.86274,2.86274
269,2.69,2.8641,2.8641
270,2.7,2.86545,2.86545
271,2.71,2.86679,2.86679
272,2.72,2.86812,2.86812
273,2.73,2.86943,2.86943
274,2.74,2.87073,2.87073
275,2.75,2.87202,2.87202
276,2.76,2.87329,2.87329
277,2.77,2.87455,2.87455
278,2.78,2.8758,2.8758
279,2.79,2.87703,2.87703
280,2.8,2.87826,2.87826
281,2.81,2.87947,2.87947
282,2.82,2.88067,2.88067
283,2.83,2.88186,2.88186
284,2.84,2.88303,2.88303
285,2.85,2.88419,2.8842
286,2.86,2.88535,2.88535
287,2.87,2.88649,2.88649
288,2.88,2.88762,2.88762
289,2.89,2.88874,2.88874
290,2.9,2.88984,2.88984
291,2.91,2.89094,2.89094
292,2.92,2.89202,2.89202
293,2.93,2.8931,2.8931
294,2.94,2.89416,2.89416
295,2.95,2.89522,2.89522
296,2.96,2.89626,2.89626
297,2.97,2.89729,2.89729
298,2.98,2.89831,2.89831
299,2.99,2.89932,2.89932
300,3,2.90033,2.90033
301,3.01,2.90132,2.90132
302,3.02,2.9023,2.9023
303,3.03,2.90327,2.90327
304,3.04,2.90423,2.90423
305,3.05,2.90519,2.90519
306,3.06,2.90613,2.90613
307,3.07,2.90706,2.90706
308,3.08,2.90799,2.90799
309,3.09,2.9089,2.90891
310,3.1,2.90981,2.90981
311,3.11,2.91071,2.91071
312,3.12,2.9116,2.9116
313,3.13,2.91248,2.91248
314,3.14,2.91335,2.91335
315,3.15,2.91421,2.91421
316,3.16,2.91506,2.91506
317,3.17,2.91591,2.91591
318,3.18,2.91675,2.91675
319,3.19,2.91757,2.91757
320,3.2,2.91839,2.91839
321,3.21,2.91921,2.91921
322,3.22,2.92001,2.92001
323,3.23,2.92081,2.92081
324,3.24,2.92159,2.92159
325,3.25,2.92237,2.92237
326,3.26,2.92315,2.92315
327,3.27,2.92391,2.92391
328,3.28,2.92467,2.92467
329,3.29,2.92542,2.92542
330,3.3,2.92616,2.92616
331,3.31,2.92689,2.92689
332,3.32,2.92762,2.92762
333,3.33,2.92834,2.92834
334,3.34,2.92905,2.92906
335,3.35,2.92976,2.92976
336,3.36,2.93046,2.93046
337,3.37,2.93115,2.93115
338,3.38,2.93184,2.93184
339,3.39,2.93251,2.93252
340,3.4,2.93319,2.93319
341,3.41,2.93385,2.93385
342,3.42,2.93451,2.93451
343,3.43,2.93516,2.93516
344,3.44,2.93581,2.93581
345,3.45,2.93644,2.93645
346,3.46,2.93708,2.93708
347,3.47,2.9377,2.9377
348,3.48,2.93832,2.93832
349,3.49,2.93894,2.93894
350,3.5,2.93954,2.93954
351,3.51,2.94015,2.94015
352,3.52,2.94074,2.94074
353,3.53,2.94133,2.94133
354,3.54,2.94191,2.94192
355,3.55,2.94249,2.94249
356,3.56,2.94307,2.94307
357,3.57,2.94363,2.94363
358,3.58,2.94419,2.94419
359,3.59,2.94475,2.94475
360,3.6,2.9453,2.9453
361,3.61,2.94584,2.94584
362,3.62,2.94638,2.94638
363,3.63,2.94691,2.94691
364,3.64,2.94744,2.94744
365,3.65,2.94797,2.94797
366,3.66,2.94848,2.94848
367,3.67,2.949,2.949
368,3.68,2.9495,2.9495
369,3.69,2.95001,2.95001
370,3.7,2.9505,2.9505
371,3.71,2.951,2.951
372,3.72,2.95148,2.95148
373,3.73,2.95197,2.95197
374,3.74,2.95244,2.95244
375,3.75,2.95292,2.95292
376,3.76,2.95339,2.95339
377,3.77,2.95385,2.95385
378,3.78,2.95431,2.95431
379,3.79,2.95476,2.95476
380,3.8,2.95521,2.95521
381,3.81,2.95566,2.95566
382,3.82,2.9561,2.9561
383,3.83,2.95654,2.95654
384,3.84,2.95697,2.95697
385,3.85,2.9574,2.9574
386,3.86,2.95782,2.95782
387,3.87,2.95824,2.95824
388,3.88,2.95866,2.95866
389,3.89,2.95907,2.95907
390,3.9,2.95948,2.95948
391,3.91,2.95988,2.95988
392,3.92,2.96028,2.96028
393,3.93,2.96067,2.96067
394,3.94,2.96106,2.96106
395,3.95,2.96145,2.96145
396,3.96,2.96184,2.96184
397,3.97,2.96222,2.96222
398,3.98,2.96259,2.96259
399,3.99,2.96296,2.96296
400,4,2.96333,2.96333
401,4.01,2.9637,2.9637
402,4.02,2.96406,2.96406
403,4.03,2.96442,2.96442
404,4.04,2.96477,2.96477
405,4.05,2.96512,2.96512
406,4.06,2.96547,2.96547
407,4.07,2.96581,2.96581
408,4.08,2.96615,2.96615
409,4.09,2.96649,2.96649
410,4.1,2.96682,2.96682
411,4.11,2.96715,2.96715
412,4.12,2.96748,2.96748
413,4.13,2.9678,2.9678
414,4.14,2.96812,2.96812
415,4.15,2.96844,2.96844
416,4.16,2.96875,2.96875
417,4.17,2.96906,2.96906
418,4.18,2.96937,2.96937
419,4.19,2.96968,2.96968
420,4.2,2.96998,2.96998
421,4.21,2.97028,2.97028
422,4.22,2.97057,2.97057
423,4.23,2.97087,2.97087
424,4.24,2.97116,2.97116
425,4.25,2.97144,2.97144
426,4.26,2.97173,2.97173
427,4.27,2.97201,2.97201
428,4.28,2.97229,2.97229
429,4.29,2.97256,2.97256
430,4.3,2.97284,2.97284
431,4.31,2.97311,2.97311
432,4.32,2.97337,2.97337
433,4.33,2.97364,2.97364
434,4.34,2.9739,2.9739
435,4.35,2.97416,2.97416
436,4.36,2.97442,2.97442
437,4.37,2.97467,2.97467
438,4.38,2.97492,2.97492
439,4.39,2.97517,2.97517
440,4.4,2.97542,2.97542
441,4.41,2.97567,2.97567
442,4.42,2.97591,2.97591
443,4.43,2.97615,2.97615
444,4.44,2.97638,2.97638
445,4.45,2.97662,2.97662
446,4.46,2.97685,2.97685
447,4.47,2.97708,2.97708
448,4.48,2.97731,2.97731
449,4.49,2.97754,2.97754
450,4.5,2.97776,2.97776
451,4.51,2.97798,2.97798
452,4.52,2.9782,2.9782
453,4.53,2.97842,2.97842
454,4.54,2.97863,2.97863
455,4.55,2.97884,2.97884
456,4.56,2.97905,2.97905
457,4.57,2.97926,2.97926
458,4.58,2.97947,2.97947
459,4.59,2.97967,2.97967
460,4.6,2.97988,2.97988
461,4.61,2.98008,2.98008
462,4.62,2.98027,2.98027
463,4.63,2.98047,2.98047
464,4.64,2.98067,2.98067
465,4.65,2.98086,2.98086
466,4.66,2.98105,2.98105
467,4.67,2.98124,2.98124
468,4.68,2.98142,2.98142
469,4.69,2.98161,2.98161
470,4.7,2.98179,2.98179
471,4.71,2.98197,2.98197
472,4.72,2.98215,2.98215
473,4.73,2.98233,2.98233
474,4.74,2.98251,2.98251
475,4.75,2.98268,2.98268
476,4.76,2.98285,2.98285
477,4.77,2.98302,2.98302
478,4.78,2.98319,2.98319
479,4.79,2.98336,2.98336
480,4.8,2.98352,2.98352
481,4.81,2.98369,2.98369
482,4.82,2.98385,2.98385
483,4.83,2.98401,2.98401
484,4.84,2.98417,2.98417
485,4.85,2.98433,2.98433
486,4.86,2.98448,2.98448
487,4.87,2.98464,2.98464
488,4.88,2.98479,2.98479
489,4.89,2.98494,2.98494
490,4.9,2.98509,2.98509
491,4.91,2.98524,2.98524
492,4.92,2.98539,2.98539
493,4.93,2.98553,2.98553
494,4.94,2.98568,2.98568
495,4.95,2.98582,2.98582
496,4.96,2.98596,2.98596
497,4.97,2.9861,2.9861
498,4.98,2.98624,2.98624
499,4.99,2.98637,2.98638
500,5,2.98651,2.98651
501,5.01,2.98664,2.98664

