t, x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
1.275,0.000, -0.041, -0.078, -0.107, -0.125, -0.132, -0.125, -0.107, -0.078, -0.041, -0.000, 0.041, 0.078, 0.107, 0.125, 0.132, 0.125, 0.107, 0.078, 0.041, 0.000
1.300,0.000, -0.088, -0.167, -0.231, -0.271, -0.285, -0.271, -0.231, -0.167, -0.088, -0.000, 0.088, 0.167, 0.231, 0.271, 0.285, 0.271, 0.231, 0.167, 0.088, 0.000
1.325,0.000, -0.133, -0.253, -0.349, -0.410, -0.431, -0.410, -0.349, -0.253, -0.133, -0.000, 0.133, 0.253, 0.349, 0.410, 0.431, 0.410, 0.349, 0.253, 0.133, 0.000
1.350,0.000, -0.175, -0.333, -0.458, -0.539, -0.566, -0.539, -0.458, -0.333, -0.175, -0.000, 0.175, 0.333, 0.458, 0.539, 0.566, 0.539, 0.458, 0.333, 0.175, 0.000
1.375,0.000, -0.213, -0.404, -0.557, -0.654, -0.688, -0.654, -0.557, -0.404, -0.213, -0.000, 0.213, 0.404, 0.557, 0.654, 0.688, 0.654, 0.557, 0.404, 0.213, 0.000
1.400,0.000, -0.245, -0.466, -0.641, -0.754, -0.793, -0.754, -0.641, -0.466, -0.245, -0.000, 0.245, 0.466, 0.641, 0.754, 0.793, 0.754, 0.641, 0.466, 0.245, 0.000
1.425,0.000, -0.271, -0.516, -0.710, -0.835, -0.878, -0.835, -0.710, -0.516, -0.271, -0.000, 0.271, 0.516, 0.710, 0.835, 0.878, 0.835, 0.710, 0.516, 0.271, 0.000
1.450,0.000, -0.291, -0.554, -0.762, -0.896, -0.942, -0.896, -0.762, -0.554, -0.291, -0.000, 0.291, 0.554, 0.762, 0.896, 0.942, 0.896, 0.762, 0.554, 0.291, 0.000
1.475,0.000, -0.304, -0.578, -0.795, -0.935, -0.983, -0.935, -0.795, -0.578, -0.304, -0.000, 0.304, 0.578, 0.795, 0.935, 0.983, 0.935, 0.795, 0.578, 0.304, 0.000
1.500,0.000, -0.309, -0.588, -0.809, -0.951, -1.000, -0.951, -0.809, -0.588, -0.309, -0.000, 0.309, 0.588, 0.809, 0.951, 1.000, 0.951, 0.809, 0.588, 0.309, 0.000
1.525,0.000, -0.307, -0.583, -0.802, -0.943, -0.992, -0.943, -0.802, -0.583, -0.307, -0.000, 0.307, 0.583, 0.802, 0.943, 0.992, 0.943, 0.802, 0.583, 0.307, 0.000
1.550,0.000, -0.297, -0.564, -0.777, -0.913, -0.960, -0.913, -0.777, -0.564, -0.297, 0.000, 0.297, 0.564, 0.777, 0.913, 0.960, 0.913, 0.777, 0.564, 0.297, 0.000
1.575,0.000, -0.279, -0.532, -0.732, -0.860, -0.904, -0.860, -0.732, -0.532, -0.279, 0.000, 0.279, 0.532, 0.732, 0.860, 0.904, 0.860, 0.732, 0.532, 0.279, 0.000
1.600,0.000, -0.256, -0.486, -0.669, -0.786, -0.827, -0.786, -0.669, -0.486, -0.256, 0.000, 0.256, 0.486, 0.669, 0.786, 0.827, 0.786, 0.669, 0.486, 0.256, 0.000
1.625,0.000, -0.225, -0.429, -0.590, -0.693, -0.729, -0.693, -0.590, -0.429, -0.225, 0.000, 0.225, 0.429, 0.590, 0.693, 0.729, 0.693, 0.590, 0.429, 0.225, 0.000
1.650,0.000, -0.190, -0.361, -0.496, -0.583, -0.613, -0.583, -0.496, -0.361, -0.190, 0.000, 0.190, 0.361, 0.496, 0.583, 0.613, 0.583, 0.496, 0.361, 0.190, 0.000
1.675,0.000, -0.149, -0.284, -0.391, -0.459, -0.483, -0.459, -0.391, -0.284, -0.149, 0.000, 0.149, 0.284, 0.391, 0.459, 0.483, 0.459, 0.391, 0.284, 0.149, 0.000
1.700,0.000, -0.105, -0.200, -0.275, -0.324, -0.340, -0.324, -0.275, -0.200, -0.105, 0.000, 0.105, 0.200, 0.275, 0.324, 0.340, 0.324, 0.275, 0.200, 0.105, 0.000
1.725,0.000, -0.059, -0.111, -0.153, -0.180, -0.189, -0.180, -0.153, -0.111, -0.059, 0.000, 0.059, 0.111, 0.153, 0.180, 0.189, 0.180, 0.153, 0.111, 0.059, 0.000
1.750,0.000, -0.010, -0.020, -0.027, -0.032, -0.034, -0.032, -0.027, -0.020, -0.010, 0.000, 0.010, 0.020, 0.027, 0.032, 0.034, 0.032, 0.027, 0.020, 0.010, 0.000
1.775,0.000, 0.038, 0.072, 0.099, 0.116, 0.122, 0.116, 0.099, 0.072, 0.038, -0.000, -0.038, -0.072, -0.099, -0.116, -0.122, -0.116, -0.099, -0.072, -0.038, 0.000
1.800,0.000, 0.085, 0.162, 0.223, 0.262, 0.276, 0.262, 0.223, 0.162, 0.085, -0.000, -0.085, -0.162, -0.223, -0.262, -0.276, -0.262, -0.223, -0.162, -0.085, 0.000
1.825,0.000, 0.130, 0.248, 0.342, 0.401, 0.422, 0.401, 0.342, 0.248, 0.130, -0.000, -0.130, -0.248, -0.342, -0.401, -0.422, -0.401, -0.342, -0.248, -0.130, 0.000
1.850,0.000, 0.173, 0.328, 0.452, 0.531, 0.558, 0.531, 0.452, 0.328, 0.173, -0.000, -0.173, -0.328, -0.452, -0.531, -0.558, -0.531, -0.452, -0.328, -0.173, 0.000
1.875,0.000, 0.210, 0.400, 0.551, 0.648, 0.681, 0.648, 0.551, 0.400, 0.210, -0.000, -0.210, -0.400, -0.551, -0.648, -0.681, -0.648, -0.551, -0.400, -0.210, 0.000
1.900,0.000, 0.243, 0.462, 0.637, 0.748, 0.787, 0.748, 0.637, 0.462, 0.243, -0.000, -0.243, -0.462, -0.637, -0.748, -0.787, -0.748, -0.637, -0.462, -0.243, 0.000
1.925,0.000, 0.270, 0.513, 0.707, 0.831, 0.873, 0.831, 0.707, 0.513, 0.270, -0.000, -0.270, -0.513, -0.707, -0.831, -0.873, -0.831, -0.707, -0.513, -0.270, 0.000
1.950,0.000, 0.290, 0.552, 0.759, 0.893, 0.939, 0.893, 0.759, 0.552, 0.290, -0.000, -0.290, -0.552, -0.759, -0.893, -0.939, -0.893, -0.759, -0.552, -0.290, 0.000
1.975,0.000, 0.303, 0.577, 0.794, 0.933, 0.981, 0.933, 0.794, 0.577, 0.303, -0.000, -0.303, -0.577, -0.794, -0.933, -0.981, -0.933, -0.794, -0.577, -0.303, 0.000
2.000,0.000, 0.309, 0.587, 0.808, 0.950, 0.999, 0.950, 0.808, 0.587, 0.309, -0.000, -0.309, -0.587, -0.808, -0.950, -0.999, -0.950, -0.808, -0.587, -0.309, 0.000
2.025,0.000, 0.307, 0.584, 0.803, 0.944, 0.993, 0.944, 0.803, 0.584, 0.307, -0.000, -0.307, -0.584, -0.803, -0.944, -0.993, -0.944, -0.803, -0.584, -0.307, 0.000
2.050,0.000, 0.297, 0.566, 0.779, 0.915, 0.963, 0.915, 0.779, 0.566, 0.297, -0.000, -0.297, -0.566, -0.779, -0.915, -0.963, -0.915, -0.779, -0.566, -0.297, 0.000
2.075,0.000, 0.281, 0.534, 0.735, 0.864, 0.909, 0.864, 0.735, 0.534, 0.281, -0.000, -0.281, -0.534, -0.735, -0.864, -0.909, -0.864, -0.735, -0.534, -0.281, 0.000
2.100,0.000, 0.257, 0.489, 0.673, 0.792, 0.832, 0.792, 0.673, 0.489, 0.257, -0.000, -0.257, -0.489, -0.673, -0.792, -0.832, -0.792, -0.673, -0.489, -0.257, 0.000
2.125,0.000, 0.227, 0.432, 0.595, 0.700, 0.736, 0.700, 0.595, 0.432, 0.227, -0.000, -0.227, -0.432, -0.595, -0.700, -0.736, -0.700, -0.595, -0.432, -0.227, 0.000
2.150,0.000, 0.192, 0.365, 0.502, 0.591, 0.621, 0.591, 0.502, 0.365, 0.192, -0.000, -0.192, -0.365, -0.502, -0.591, -0.621, -0.591, -0.502, -0.365, -0.192, 0.000
2.175,0.000, 0.152, 0.289, 0.397, 0.467, 0.491, 0.467, 0.397, 0.289, 0.152, -0.000, -0.152, -0.289, -0.397, -0.467, -0.491, -0.467, -0.397, -0.289, -0.152, 0.000
2.200,0.000, 0.108, 0.205, 0.283, 0.332, 0.349, 0.332, 0.283, 0.205, 0.108, -0.000, -0.108, -0.205, -0.283, -0.332, -0.349, -0.332, -0.283, -0.205, -0.108, 0.000
2.225,0.000, 0.061, 0.117, 0.161, 0.189, 0.199, 0.189, 0.161, 0.117, 0.061, -0.000, -0.061, -0.117, -0.161, -0.189, -0.199, -0.189, -0.161, -0.117, -0.061, 0.000
2.250,0.000, 0.013, 0.026, 0.035, 0.042, 0.044, 0.042, 0.035, 0.026, 0.013, -0.000, -0.013, -0.026, -0.035, -0.042, -0.044, -0.042, -0.035, -0.026, -0.013, 0.000
2.275,0.000, -0.035, -0.066, -0.091, -0.107, -0.113, -0.107, -0.091, -0.066, -0.035, 0.000, 0.035, 0.066, 0.091, 0.107, 0.113, 0.107, 0.091, 0.066, 0.035, 0.000
2.300,0.000, -0.082, -0.157, -0.215, -0.253, -0.266, -0.253, -0.215, -0.157, -0.082, 0.000, 0.082, 0.157, 0.215, 0.253, 0.266, 0.253, 0.215, 0.157, 0.082, 0.000
2.325,0.000, -0.128, -0.243, -0.334, -0.393, -0.413, -0.393, -0.334, -0.243, -0.128, 0.000, 0.128, 0.243, 0.334, 0.393, 0.413, 0.393, 0.334, 0.243, 0.128, 0.000
2.350,0.000, -0.170, -0.323, -0.445, -0.523, -0.550, -0.523, -0.445, -0.323, -0.170, 0.000, 0.170, 0.323, 0.445, 0.523, 0.550, 0.523, 0.445, 0.323, 0.170, 0.000
2.375,0.000, -0.208, -0.396, -0.545, -0.641, -0.674, -0.641, -0.545, -0.396, -0.208, 0.000, 0.208, 0.396, 0.545, 0.641, 0.674, 0.641, 0.545, 0.396, 0.208, 0.000
2.400,0.000, -0.241, -0.459, -0.632, -0.743, -0.781, -0.743, -0.632, -0.459, -0.241, 0.000, 0.241, 0.459, 0.632, 0.743, 0.781, 0.743, 0.632, 0.459, 0.241, 0.000
2.425,0.000, -0.268, -0.511, -0.703, -0.826, -0.869, -0.826, -0.703, -0.511, -0.268, 0.000, 0.268, 0.511, 0.703, 0.826, 0.869, 0.826, 0.703, 0.511, 0.268, 0.000
2.450,0.000, -0.289, -0.550, -0.757, -0.890, -0.935, -0.890, -0.757, -0.550, -0.289, 0.000, 0.289, 0.550, 0.757, 0.890, 0.935, 0.890, 0.757, 0.550, 0.289, 0.000
2.475,0.000, -0.303, -0.575, -0.792, -0.931, -0.979, -0.931, -0.792, -0.575, -0.303, 0.000, 0.303, 0.575, 0.792, 0.931, 0.979, 0.931, 0.792, 0.575, 0.303, 0.000
2.500,0.000, -0.309, -0.587, -0.808, -0.950, -0.999, -0.950, -0.808, -0.587, -0.309, 0.000, 0.309, 0.587, 0.808, 0.950, 0.999, 0.950, 0.808, 0.587, 0.309, 0.000
2.525,0.000, -0.307, -0.584, -0.804, -0.946, -0.994, -0.946, -0.804, -0.584, -0.307, 0.000, 0.307, 0.584, 0.804, 0.946, 0.994, 0.946, 0.804, 0.584, 0.307, 0.000
2.550,0.000, -0.298, -0.567, -0.781, -0.918, -0.965, -0.918, -0.781, -0.567, -0.298, 0.000, 0.298, 0.567, 0.781, 0.918, 0.965, 0.918, 0.781, 0.567, 0.298, 0.000
2.575,0.000, -0.282, -0.536, -0.738, -0.868, -0.913, -0.868, -0.738, -0.536, -0.282, -0.000, 0.282, 0.536, 0.738, 0.868, 0.913, 0.868, 0.738, 0.536, 0.282, 0.000
2.600,0.000, -0.259, -0.492, -0.678, -0.797, -0.838, -0.797, -0.678, -0.492, -0.259, -0.000, 0.259, 0.492, 0.678, 0.797, 0.838, 0.797, 0.678, 0.492, 0.259, 0.000
2.625,0.000, -0.229, -0.436, -0.600, -0.706, -0.742, -0.706, -0.600, -0.436, -0.229, -0.000, 0.229, 0.436, 0.600, 0.706, 0.742, 0.706, 0.600, 0.436, 0.229, 0.000
2.650,0.000, -0.194, -0.369, -0.509, -0.598, -0.629, -0.598, -0.509, -0.369, -0.194, -0.000, 0.194, 0.369, 0.509, 0.598, 0.629, 0.598, 0.509, 0.369, 0.194, 0.000
2.675,0.000, -0.154, -0.294, -0.404, -0.475, -0.500, -0.475, -0.404, -0.294, -0.154, -0.000, 0.154, 0.294, 0.404, 0.475, 0.500, 0.475, 0.404, 0.294, 0.154, 0.000
2.700,0.000, -0.111, -0.211, -0.290, -0.341, -0.358, -0.341, -0.290, -0.211, -0.111, -0.000, 0.111, 0.211, 0.290, 0.341, 0.358, 0.341, 0.290, 0.211, 0.111, 0.000
2.725,0.000, -0.064, -0.123, -0.169, -0.198, -0.208, -0.198, -0.169, -0.123, -0.064, -0.000, 0.064, 0.123, 0.169, 0.198, 0.208, 0.198, 0.169, 0.123, 0.064, 0.000
2.750,0.000, -0.016, -0.031, -0.043, -0.051, -0.053, -0.051, -0.043, -0.031, -0.016, -0.000, 0.016, 0.031, 0.043, 0.051, 0.053, 0.051, 0.043, 0.031, 0.016, 0.000
2.775,0.000, 0.032, 0.061, 0.083, 0.098, 0.103, 0.098, 0.083, 0.061, 0.032, -0.000, -0.032, -0.061, -0.083, -0.098, -0.103, -0.098, -0.083, -0.061, -0.032, 0.000
2.800,0.000, 0.079, 0.151, 0.208, 0.244, 0.257, 0.244, 0.208, 0.151, 0.079, 0.000, -0.079, -0.151, -0.208, -0.244, -0.257, -0.244, -0.208, -0.151, -0.079, 0.000
2.825,0.000, 0.125, 0.238, 0.327, 0.385, 0.404, 0.385, 0.327, 0.238, 0.125, 0.000, -0.125, -0.238, -0.327, -0.385, -0.404, -0.385, -0.327, -0.238, -0.125, 0.000
2.850,0.000, 0.168, 0.319, 0.439, 0.516, 0.542, 0.516, 0.439, 0.319, 0.168, 0.000, -0.168, -0.319, -0.439, -0.516, -0.542, -0.516, -0.439, -0.319, -0.168, 0.000
2.875,0.000, 0.206, 0.392, 0.539, 0.634, 0.667, 0.634, 0.539, 0.392, 0.206, 0.000, -0.206, -0.392, -0.539, -0.634, -0.667, -0.634, -0.539, -0.392, -0.206, 0.000
2.900,0.000, 0.239, 0.455, 0.627, 0.737, 0.775, 0.737, 0.627, 0.455, 0.239, 0.000, -0.239, -0.455, -0.627, -0.737, -0.775, -0.737, -0.627, -0.455, -0.239, 0.000
2.925,0.000, 0.267, 0.508, 0.699, 0.822, 0.864, 0.822, 0.699, 0.508, 0.267, 0.000, -0.267, -0.508, -0.699, -0.822, -0.864, -0.822, -0.699, -0.508, -0.267, 0.000
2.950,0.000, 0.288, 0.548, 0.754, 0.886, 0.932, 0.886, 0.754, 0.548, 0.288, 0.000, -0.288, -0.548, -0.754, -0.886, -0.932, -0.886, -0.754, -0.548, -0.288, 0.000
2.975,0.000, 0.302, 0.574, 0.790, 0.929, 0.977, 0.929, 0.790, 0.574, 0.302, 0.000, -0.302, -0.574, -0.790, -0.929, -0.977, -0.929, -0.790, -0.574, -0.302, 0.000
3.000,0.000, 0.308, 0.587, 0.808, 0.949, 0.998, 0.949, 0.808, 0.587, 0.308, 0.000, -0.308, -0.587, -0.808, -0.949, -0.998, -0.949, -0.808, -0.587, -0.308, 0.000
